1,350.767573956,212.971100733,208.152459647
2,151.814054922,156.442177463,152.296755744
3,111.662848179,136.017046794,132.887452493
4,91.8048097074,129.51397529,125.718642965
5,79.8112188678,126.604966649,123.397938541
6,71.5193893825,126.352335337,122.83162132
7,65.5551290547,127.032527096,123.075449948
8,61.0589739149,128.522488604,125.110415021
9,57.3766946072,130.409278028,126.188111079
10,54.3641054494,131.301913182,127.19348063
11,51.8128217339,134.502076222,129.529291585
12,49.754062109,135.407972025,130.945526498
13,47.8926829598,136.972563996,131.863247525
14,46.2656094867,138.92084853,133.574303194
15,44.8826008057,140.95306434,135.315061003
16,43.6164262799,142.075832531,136.660211396
17,42.3333911469,144.660056958,139.023851994
18,41.403442266,144.918473284,139.029642135
19,40.3007086944,147.349034764,141.696517271
20,39.4096729906,148.388193854,142.686037312
21,36.6998907647,150.451241211,143.440488898
22,33.3919418844,152.880245596,146.338267578
23,30.2345828728,156.648386178,148.993203696
24,27.4405105478,160.798724839,152.656533616
25,24.9539165061,166.377010249,157.38524282
26,22.7986635217,171.601550897,162.445543628
27,21.001492842,176.691206295,167.101089394
28,19.4393836503,184.160043729,174.104058208
29,18.1372162943,190.004830233,179.206444621
30,17.0539442936,195.778097324,184.564800604
31,16.1411241341,202.286885394,190.576330098
32,15.3670995421,208.018669599,196.213788767
33,14.7223336692,214.037470178,201.487782505
34,14.1820477513,219.303207356,206.326015932
35,13.7303464339,224.599368133,210.929201875
36,13.3493426823,229.425791937,215.213819433
37,13.0313892895,233.553943883,218.829360344
38,12.7620174783,237.252877543,222.307352943
39,12.5395142614,240.847487544,225.175511818
